day,category,launched,intercepted,not_confirmed_intercepted,source_records
2022-09-28 00:00:00+00:00,missile,5.0,4.0,1.0,1
2022-09-28 00:00:00+00:00,uav,3.0,3.0,0.0,1
2022-09-29 00:00:00+00:00,uav,7.0,5.0,2.0,1
2022-09-30 00:00:00+00:00,missile,3.0,3.0,0.0,1
2022-10-01 00:00:00+00:00,missile,1.0,1.0,0.0,1
2022-10-02 00:00:00+00:00,uav,7.0,5.0,2.0,1
2022-10-05 00:00:00+00:00,missile,1.0,1.0,0.0,1
2022-10-05 00:00:00+00:00,uav,7.0,7.0,0.0,2
2022-10-06 00:00:00+00:00,missile,3.0,3.0,0.0,3
2022-10-06 00:00:00+00:00,uav,14.0,14.0,0.0,3
2022-10-07 00:00:00+00:00,uav,3.0,3.0,0.0,1
2022-10-08 00:00:00+00:00,uav,3.0,3.0,0.0,2
2022-10-09 00:00:00+00:00,missile,22.0,1.0,21.0,3
2022-10-10 00:00:00+00:00,missile,84.0,43.0,41.0,1
2022-10-10 00:00:00+00:00,uav,24.0,13.0,11.0,2
2022-10-11 00:00:00+00:00,missile,28.0,20.0,8.0,1
2022-10-11 00:00:00+00:00,uav,34.0,34.0,0.0,3
2022-10-12 00:00:00+00:00,missile,2.0,2.0,0.0,1
2022-10-12 00:00:00+00:00,uav,17.0,17.0,0.0,1
2022-10-13 00:00:00+00:00,missile,5.0,5.0,0.0,1
2022-10-13 00:00:00+00:00,uav,6.0,6.0,0.0,1
2022-10-14 00:00:00+00:00,uav,8.0,8.0,0.0,1
2022-10-15 00:00:00+00:00,uav,6.0,6.0,0.0,1
2022-10-16 00:00:00+00:00,uav,11.0,11.0,0.0,1
2022-10-17 00:00:00+00:00,missile,5.0,5.0,0.0,2
2022-10-17 00:00:00+00:00,uav,34.0,34.0,0.0,3
2022-10-18 00:00:00+00:00,missile,5.0,5.0,0.0,2
2022-10-18 00:00:00+00:00,uav,6.0,6.0,0.0,1
2022-10-19 00:00:00+00:00,missile,6.0,4.0,2.0,1
2022-10-19 00:00:00+00:00,uav,23.0,23.0,0.0,2
2022-10-20 00:00:00+00:00,uav,14.0,14.0,0.0,1
2022-10-22 00:00:00+00:00,missile,33.0,18.0,15.0,2
2022-10-22 00:00:00+00:00,uav,10.0,10.0,0.0,1
2022-10-23 00:00:00+00:00,uav,16.0,16.0,0.0,1
2022-10-25 00:00:00+00:00,uav,3.0,3.0,0.0,2
2022-10-26 00:00:00+00:00,missile,1.0,1.0,0.0,1
2022-10-26 00:00:00+00:00,uav,20.0,19.0,1.0,1
2022-10-31 00:00:00+00:00,missile,50.0,44.0,6.0,1
2022-11-01 00:00:00+00:00,uav,20.0,19.0,1.0,4
2022-11-03 00:00:00+00:00,uav,9.0,9.0,0.0,1
2022-11-04 00:00:00+00:00,missile,2.0,2.0,0.0,1
2022-11-04 00:00:00+00:00,uav,14.0,14.0,0.0,2
2022-11-09 00:00:00+00:00,missile,1.0,1.0,0.0,1
2022-11-09 00:00:00+00:00,uav,5.0,5.0,0.0,1
2022-11-14 00:00:00+00:00,uav,2.0,2.0,0.0,1
2022-11-15 00:00:00+00:00,missile,100.0,79.0,21.0,4
2022-11-15 00:00:00+00:00,uav,10.0,10.0,0.0,1
2022-11-17 00:00:00+00:00,missile,20.0,6.0,14.0,2
2022-11-17 00:00:00+00:00,uav,5.0,5.0,0.0,1
2022-11-23 00:00:00+00:00,missile,75.0,56.0,19.0,2
2022-12-05 00:00:00+00:00,missile,70.0,60.0,10.0,5
2022-12-07 00:00:00+00:00,missile,1.0,1.0,0.0,1
2022-12-07 00:00:00+00:00,uav,13.0,13.0,0.0,2
2022-12-10 00:00:00+00:00,uav,15.0,10.0,5.0,1
2022-12-14 00:00:00+00:00,uav,13.0,13.0,0.0,1
2022-12-16 00:00:00+00:00,missile,103.0,60.0,43.0,4
2022-12-19 00:00:00+00:00,uav,35.0,30.0,5.0,1
2022-12-20 00:00:00+00:00,missile,1.0,1.0,0.0,1
2022-12-20 00:00:00+00:00,uav,1.0,1.0,0.0,1
2022-12-22 00:00:00+00:00,missile,1.0,1.0,0.0,1
2022-12-29 00:00:00+00:00,missile,74.0,62.0,12.0,5
2022-12-30 00:00:00+00:00,uav,16.0,16.0,0.0,1
2022-12-31 00:00:00+00:00,missile,21.0,13.0,8.0,2
2023-01-01 00:00:00+00:00,uav,45.0,45.0,0.0,1
2023-01-02 00:00:00+00:00,missile,2.0,2.0,0.0,2
2023-01-02 00:00:00+00:00,uav,39.0,39.0,0.0,1
2023-01-11 00:00:00+00:00,missile,2.0,2.0,0.0,2
2023-01-11 00:00:00+00:00,uav,1.0,1.0,0.0,1
2023-01-12 00:00:00+00:00,missile,1.0,1.0,0.0,1
2023-01-14 00:00:00+00:00,missile,38.0,25.0,13.0,5
2023-01-20 00:00:00+00:00,missile,2.0,2.0,0.0,2
2023-01-23 00:00:00+00:00,missile,3.0,3.0,0.0,2
2023-01-25 00:00:00+00:00,missile,1.0,1.0,0.0,1
2023-01-26 00:00:00+00:00,missile,55.0,47.0,8.0,4
2023-01-26 00:00:00+00:00,uav,24.0,24.0,0.0,1
2023-02-09 00:00:00+00:00,missile,107.0,62.0,45.0,4
2023-02-09 00:00:00+00:00,uav,7.0,5.0,2.0,1
2023-02-10 00:00:00+00:00,uav,20.0,20.0,0.0,1
2023-02-11 00:00:00+00:00,missile,1.0,1.0,0.0,1
2023-02-11 00:00:00+00:00,uav,4.0,4.0,0.0,1
2023-02-15 00:00:00+00:00,uav,1.0,1.0,0.0,1
2023-02-16 00:00:00+00:00,missile,35.0,16.0,19.0,6
2023-02-18 00:00:00+00:00,missile,4.0,2.0,2.0,1
2023-02-27 00:00:00+00:00,uav,14.0,11.0,3.0,1
2023-03-01 00:00:00+00:00,uav,4.0,4.0,0.0,1
2023-03-06 00:00:00+00:00,uav,15.0,13.0,2.0,1
2023-03-08 00:00:00+00:00,uav,2.0,2.0,0.0,1
2023-03-09 00:00:00+00:00,missile,81.0,34.0,47.0,7
2023-03-09 00:00:00+00:00,uav,8.0,4.0,4.0,1
2023-03-14 00:00:00+00:00,missile,4.0,0.0,4.0,1
2023-03-17 00:00:00+00:00,uav,16.0,11.0,5.0,1
2023-03-21 00:00:00+00:00,missile,2.0,2.0,0.0,1
2023-03-21 00:00:00+00:00,uav,21.0,16.0,5.0,1
2023-03-23 00:00:00+00:00,missile,2.0,2.0,0.0,1
2023-03-27 00:00:00+00:00,missile,3.0,1.0,2.0,2
2023-03-27 00:00:00+00:00,uav,13.0,12.0,1.0,1
2023-03-30 00:00:00+00:00,uav,10.0,9.0,1.0,1
2023-04-04 00:00:00+00:00,uav,17.0,14.0,3.0,1
2023-04-08 00:00:00+00:00,missile,1.0,1.0,0.0,1
2023-04-10 00:00:00+00:00,missile,2.0,2.0,0.0,2
2023-04-18 00:00:00+00:00,missile,1.0,1.0,0.0,1
2023-04-18 00:00:00+00:00,uav,8.0,6.0,2.0,1
2023-04-19 00:00:00+00:00,uav,23.0,20.0,3.0,2
2023-04-21 00:00:00+00:00,uav,17.0,12.0,5.0,2
2023-04-22 00:00:00+00:00,missile,4.0,4.0,0.0,1
2023-04-23 00:00:00+00:00,missile,1.0,1.0,0.0,1
2023-04-24 00:00:00+00:00,missile,2.0,2.0,0.0,1
2023-04-24 00:00:00+00:00,uav,7.0,7.0,0.0,2
2023-04-26 00:00:00+00:00,missile,6.0,6.0,0.0,2
2023-04-28 00:00:00+00:00,missile,23.0,21.0,2.0,1
2023-04-28 00:00:00+00:00,uav,2.0,2.0,0.0,1
2023-04-29 00:00:00+00:00,uav,3.0,3.0,0.0,2
2023-05-01 00:00:00+00:00,missile,18.0,15.0,3.0,1
2023-05-02 00:00:00+00:00,uav,26.0,21.0,5.0,1
2023-05-03 00:00:00+00:00,missile,3.0,3.0,0.0,2
2023-05-03 00:00:00+00:00,uav,1.0,1.0,0.0,1
2023-05-04 00:00:00+00:00,missile,1.0,1.0,0.0,1
2023-05-04 00:00:00+00:00,uav,25.0,19.0,6.0,2
2023-05-05 00:00:00+00:00,uav,2.0,2.0,0.0,1
2023-05-06 00:00:00+00:00,missile,1.0,1.0,0.0,1
2023-05-06 00:00:00+00:00,uav,12.0,12.0,0.0,2
2023-05-08 00:00:00+00:00,missile,19.0,11.0,8.0,4
2023-05-08 00:00:00+00:00,uav,35.0,35.0,0.0,1
2023-05-09 00:00:00+00:00,missile,17.0,15.0,2.0,1
2023-05-09 00:00:00+00:00,uav,3.0,3.0,0.0,1
2023-05-12 00:00:00+00:00,missile,4.0,4.0,0.0,1
2023-05-13 00:00:00+00:00,missile,1.0,1.0,0.0,1
2023-05-13 00:00:00+00:00,uav,21.0,17.0,4.0,1
2023-05-14 00:00:00+00:00,missile,10.0,10.0,0.0,6
2023-05-14 00:00:00+00:00,uav,26.0,26.0,0.0,3
2023-05-15 00:00:00+00:00,missile,4.0,4.0,0.0,3
2023-05-16 00:00:00+00:00,missile,29.0,29.0,0.0,6
2023-05-16 00:00:00+00:00,uav,7.0,7.0,0.0,2
2023-05-17 00:00:00+00:00,missile,30.0,29.0,1.0,3
2023-05-17 00:00:00+00:00,uav,4.0,4.0,0.0,2
2023-05-19 00:00:00+00:00,missile,7.0,4.0,3.0,2
2023-05-19 00:00:00+00:00,uav,24.0,18.0,6.0,2
2023-05-20 00:00:00+00:00,missile,2.0,2.0,0.0,2
2023-05-20 00:00:00+00:00,uav,25.0,25.0,0.0,3
2023-05-21 00:00:00+00:00,missile,3.0,3.0,0.0,3
2023-05-22 00:00:00+00:00,missile,18.0,6.0,12.0,5
2023-05-22 00:00:00+00:00,uav,20.0,20.0,0.0,1
2023-05-23 00:00:00+00:00,uav,6.0,6.0,0.0,1
2023-05-25 00:00:00+00:00,missile,19.0,12.0,7.0,4
2023-05-25 00:00:00+00:00,uav,67.0,59.0,8.0,2
2023-05-28 00:00:00+00:00,uav,54.0,52.0,2.0,1
2023-05-29 00:00:00+00:00,missile,51.0,48.0,3.0,2
2023-05-29 00:00:00+00:00,uav,67.0,59.0,8.0,3
2023-05-31 00:00:00+00:00,missile,5.0,5.0,0.0,3
2023-06-01 00:00:00+00:00,missile,10.0,10.0,0.0,2
2023-06-01 00:00:00+00:00,uav,21.0,21.0,0.0,1
2023-06-02 00:00:00+00:00,missile,15.0,15.0,0.0,1
2023-06-04 00:00:00+00:00,missile,6.0,4.0,2.0,1
