day,attack_records,launched_reported,intercepted_reported,uav_events,missile_events,guided_bomb_events
2022-09-28 00:00:00+00:00,2,8.0,7.0,1,1,0
2022-09-29 00:00:00+00:00,1,7.0,5.0,1,0,0
2022-09-30 00:00:00+00:00,1,3.0,3.0,0,1,0
2022-10-01 00:00:00+00:00,1,1.0,1.0,0,1,0
2022-10-02 00:00:00+00:00,1,7.0,5.0,1,0,0
2022-10-05 00:00:00+00:00,3,8.0,8.0,2,1,0
2022-10-06 00:00:00+00:00,6,17.0,17.0,3,3,0
2022-10-07 00:00:00+00:00,1,3.0,3.0,1,0,0
2022-10-08 00:00:00+00:00,2,3.0,3.0,2,0,0
2022-10-09 00:00:00+00:00,3,22.0,1.0,0,3,0
2022-10-10 00:00:00+00:00,3,108.0,56.0,2,1,0
2022-10-11 00:00:00+00:00,4,62.0,54.0,3,1,0
2022-10-12 00:00:00+00:00,2,19.0,19.0,1,1,0
2022-10-13 00:00:00+00:00,2,11.0,11.0,1,1,0
2022-10-14 00:00:00+00:00,1,8.0,8.0,1,0,0
2022-10-15 00:00:00+00:00,1,6.0,6.0,1,0,0
2022-10-16 00:00:00+00:00,1,11.0,11.0,1,0,0
2022-10-17 00:00:00+00:00,5,39.0,39.0,3,2,0
2022-10-18 00:00:00+00:00,3,11.0,11.0,1,2,0
2022-10-19 00:00:00+00:00,3,29.0,27.0,2,1,0
2022-10-20 00:00:00+00:00,1,14.0,14.0,1,0,0
2022-10-22 00:00:00+00:00,3,43.0,28.0,1,2,0
2022-10-23 00:00:00+00:00,1,16.0,16.0,1,0,0
2022-10-25 00:00:00+00:00,2,3.0,3.0,2,0,0
2022-10-26 00:00:00+00:00,2,21.0,20.0,1,1,0
2022-10-31 00:00:00+00:00,1,50.0,44.0,0,1,0
2022-11-01 00:00:00+00:00,4,20.0,19.0,4,0,0
2022-11-03 00:00:00+00:00,1,9.0,9.0,1,0,0
2022-11-04 00:00:00+00:00,3,16.0,16.0,2,1,0
2022-11-09 00:00:00+00:00,2,6.0,6.0,1,1,0
