day,oblast,attack_events,uav_events,missile_events,guided_bomb_events
2025-01-26 00:00:00+00:00,Івано-Франківська область,1,1,0,0
2025-01-26 00:00:00+00:00,Дніпропетровська область,1,1,0,0
2025-01-26 00:00:00+00:00,Київська область,1,1,0,0
2025-01-26 00:00:00+00:00,Сумська область,1,1,0,0
2025-01-27 00:00:00+00:00,Київська область,1,1,0,0
2025-01-27 00:00:00+00:00,Одеська область,1,1,0,0
2025-01-27 00:00:00+00:00,Полтавська область,1,1,0,0
2025-01-27 00:00:00+00:00,Сумська область,1,1,0,0
2025-01-27 00:00:00+00:00,Харківська область,1,1,0,0
2025-01-27 00:00:00+00:00,Черкаська область,1,1,0,0
2025-01-27 00:00:00+00:00,Чернігівська область,1,1,0,0
2025-01-28 00:00:00+00:00,Київська область,1,1,0,0
2025-01-28 00:00:00+00:00,Миколаївська область,1,1,0,0
2025-01-28 00:00:00+00:00,Одеська область,1,1,0,0
2025-01-28 00:00:00+00:00,Сумська область,1,1,0,0
2025-01-28 00:00:00+00:00,Харківська область,1,1,0,0
2025-01-29 00:00:00+00:00,Одеська область,1,1,0,0
2025-01-29 00:00:00+00:00,Полтавська область,1,1,0,0
2025-01-29 00:00:00+00:00,Сумська область,1,1,0,0
2025-01-29 00:00:00+00:00,Чернігівська область,1,1,0,0
2025-01-30 00:00:00+00:00,Одеська область,1,1,0,0
2025-01-30 00:00:00+00:00,Сумська область,1,1,0,0
2025-01-30 00:00:00+00:00,Черкаська область,1,1,0,0
2025-01-31 00:00:00+00:00,Запорізька область,1,1,0,0
2025-01-31 00:00:00+00:00,Київська область,1,1,0,0
2025-01-31 00:00:00+00:00,Одеська область,1,1,0,0
2025-01-31 00:00:00+00:00,Полтавська область,1,1,0,0
2025-01-31 00:00:00+00:00,Сумська область,1,1,0,0
2025-01-31 00:00:00+00:00,Харківська область,1,1,0,0
2025-01-31 00:00:00+00:00,Хмельницька область,1,1,0,0
2025-02-01 00:00:00+00:00,Сумська область,1,1,0,0
2025-02-01 00:00:00+00:00,Харківська область,1,1,0,0
2025-02-02 00:00:00+00:00,Сумська область,1,1,0,0
2025-02-02 00:00:00+00:00,Харківська область,1,1,0,0
2025-02-02 00:00:00+00:00,Черкаська область,1,1,0,0
2025-02-03 00:00:00+00:00,Сумська область,1,1,0,0
2025-02-03 00:00:00+00:00,Черкаська область,1,1,0,0
2025-02-04 00:00:00+00:00,Донецька область,1,1,0,0
2025-02-04 00:00:00+00:00,Київська область,1,1,0,0
2025-02-04 00:00:00+00:00,Кіровоградська область,1,1,0,0
2025-02-04 00:00:00+00:00,Сумська область,1,1,0,0
2025-02-04 00:00:00+00:00,Харківська область,1,1,0,0
2025-02-05 00:00:00+00:00,Дніпропетровська область,1,1,0,0
2025-02-05 00:00:00+00:00,Харківська область,1,1,0,0
