oblast,attack_events,active_days,first_seen,last_seen,uav_events,missile_events,guided_bomb_events
Харківська область,136,133,2025-01-27 00:00:00+00:00,2026-07-31 00:00:00+00:00,136,0,0
Київська область,125,123,2025-01-26 00:00:00+00:00,2026-09-18 00:00:00+00:00,125,0,0
Одеська область,120,115,2025-01-27 00:00:00+00:00,2026-09-18 00:00:00+00:00,119,1,0
Сумська область,119,119,2025-01-26 00:00:00+00:00,2026-08-11 00:00:00+00:00,119,0,0
Дніпропетровська область,112,110,2025-01-26 00:00:00+00:00,2026-08-26 00:00:00+00:00,111,1,0
Донецька область,91,90,2025-02-04 00:00:00+00:00,2026-03-23 00:00:00+00:00,91,0,0
Запорізька область,50,48,2025-01-31 00:00:00+00:00,2026-09-16 00:00:00+00:00,49,1,0
Полтавська область,49,48,2025-01-27 00:00:00+00:00,2026-08-26 00:00:00+00:00,49,0,0
Чернігівська область,45,44,2025-01-27 00:00:00+00:00,2026-05-17 00:00:00+00:00,45,0,0
Черкаська область,29,29,2025-01-27 00:00:00+00:00,2025-11-13 00:00:00+00:00,29,0,0
Хмельницька область,20,20,2025-01-31 00:00:00+00:00,2026-03-06 00:00:00+00:00,20,0,0
Житомирська область,19,19,2025-02-08 00:00:00+00:00,2026-03-06 00:00:00+00:00,19,0,0
Миколаївська область,18,18,2025-01-28 00:00:00+00:00,2026-09-15 00:00:00+00:00,18,0,0
Кіровоградська область,17,17,2025-02-04 00:00:00+00:00,2026-02-21 00:00:00+00:00,17,0,0
Івано-Франківська область,15,15,2025-01-26 00:00:00+00:00,2026-07-29 00:00:00+00:00,15,0,0
Львівська область,14,14,2025-06-05 00:00:00+00:00,2026-07-29 00:00:00+00:00,14,0,0
Волинська область,11,11,2025-02-08 00:00:00+00:00,2026-01-01 00:00:00+00:00,11,0,0
Київ,9,9,2025-05-23 00:00:00+00:00,2025-11-13 00:00:00+00:00,8,1,0
Вінницька область,8,8,2025-07-15 00:00:00+00:00,2026-07-29 00:00:00+00:00,8,0,0
Рівненська область,6,6,2025-06-05 00:00:00+00:00,2026-02-06 00:00:00+00:00,6,0,0
Тернопільська область,4,4,2025-03-06 00:00:00+00:00,2025-11-18 00:00:00+00:00,4,0,0
Чернівецька область,3,3,2025-05-22 00:00:00+00:00,2026-03-06 00:00:00+00:00,3,0,0
Закарпатська область,1,1,2025-08-20 00:00:00+00:00,2025-08-20 00:00:00+00:00,1,0,0
Херсонська область,1,1,2025-06-01 00:00:00+00:00,2025-06-01 00:00:00+00:00,1,0,0
