day,oblast,alert_count,alert_minutes
2022-02-25 00:00:00+00:00,Волинська область,1,499.96666666666664
2022-02-25 00:00:00+00:00,Вінницька область,1,46.18333333333333
2022-02-25 00:00:00+00:00,Запорізька область,1,30.0
2022-02-25 00:00:00+00:00,Київ,2,60.0
2022-02-25 00:00:00+00:00,Рівненська область,1,30.0
2022-02-25 00:00:00+00:00,Черкаська область,1,55.833333333333336
2022-02-26 00:00:00+00:00,Волинська область,2,47.81666666666666
2022-02-26 00:00:00+00:00,Вінницька область,5,224.8
2022-02-26 00:00:00+00:00,Житомирська область,2,120.7
2022-02-26 00:00:00+00:00,Запорізька область,2,177.81666666666666
2022-02-26 00:00:00+00:00,Київ,4,120.0
2022-02-26 00:00:00+00:00,Львівська область,4,142.63333333333333
2022-02-26 00:00:00+00:00,Миколаївська область,1,30.0
2022-02-26 00:00:00+00:00,Одеська область,2,60.08333333333333
2022-02-26 00:00:00+00:00,Рівненська область,5,97.6
2022-02-26 00:00:00+00:00,Сумська область,3,118.03333333333333
2022-02-26 00:00:00+00:00,Тернопільська область,2,261.1
2022-02-26 00:00:00+00:00,Харківська область,2,60.0
2022-02-26 00:00:00+00:00,Херсонська область,3,90.0
2022-02-26 00:00:00+00:00,Хмельницька область,1,15.95
2022-02-26 00:00:00+00:00,Черкаська область,1,30.0
2022-02-26 00:00:00+00:00,Чернігівська область,3,90.0
2022-02-27 00:00:00+00:00,Івано-Франківська область,1,30.0
2022-02-27 00:00:00+00:00,Волинська область,6,183.41666666666666
2022-02-27 00:00:00+00:00,Вінницька область,9,225.73333333333335
2022-02-27 00:00:00+00:00,Дніпропетровська область,4,88.15
2022-02-27 00:00:00+00:00,Донецька область,1,349.6
2022-02-27 00:00:00+00:00,Житомирська область,5,369.3833333333333
2022-02-27 00:00:00+00:00,Запорізька область,4,364.6166666666667
2022-02-27 00:00:00+00:00,Київ,3,89.5
2022-02-27 00:00:00+00:00,Київська область,3,90.0
2022-02-27 00:00:00+00:00,Кіровоградська область,1,3.966666666666667
2022-02-27 00:00:00+00:00,Львівська область,1,1.1333333333333333
2022-02-27 00:00:00+00:00,Миколаївська область,1,30.0
2022-02-27 00:00:00+00:00,Одеська область,2,52.08333333333333
2022-02-27 00:00:00+00:00,Полтавська область,2,39.13333333333333
2022-02-27 00:00:00+00:00,Рівненська область,6,143.2
2022-02-27 00:00:00+00:00,Сумська область,4,120.0
2022-02-27 00:00:00+00:00,Тернопільська область,4,245.46666666666667
2022-02-27 00:00:00+00:00,Харківська область,1,30.0
2022-02-27 00:00:00+00:00,Херсонська область,2,60.0
2022-02-27 00:00:00+00:00,Хмельницька область,2,62.18333333333334
2022-02-27 00:00:00+00:00,Черкаська область,4,242.16666666666669
2022-02-27 00:00:00+00:00,Чернівецька область,1,30.0
2022-02-27 00:00:00+00:00,Чернігівська область,2,59.766666666666666
2022-02-28 00:00:00+00:00,Івано-Франківська область,2,28.700000000000003
2022-02-28 00:00:00+00:00,Волинська область,3,103.03333333333333
2022-02-28 00:00:00+00:00,Вінницька область,7,138.05
2022-02-28 00:00:00+00:00,Дніпропетровська область,6,106.01666666666667
2022-02-28 00:00:00+00:00,Донецька область,3,86.16666666666667
2022-02-28 00:00:00+00:00,Житомирська область,5,134.13333333333333
2022-02-28 00:00:00+00:00,Запорізька область,1,30.0
2022-02-28 00:00:00+00:00,Київ,7,211.66666666666669
2022-02-28 00:00:00+00:00,Київська область,2,936.5166666666667
2022-02-28 00:00:00+00:00,Кіровоградська область,1,31.55
2022-02-28 00:00:00+00:00,Луганська область,1,30.0
2022-02-28 00:00:00+00:00,Львівська область,2,50.38333333333333
2022-02-28 00:00:00+00:00,Миколаївська область,2,97.06666666666666
2022-02-28 00:00:00+00:00,Одеська область,2,13.8
2022-02-28 00:00:00+00:00,Полтавська область,3,59.03333333333334
2022-02-28 00:00:00+00:00,Рівненська область,1,16.266666666666666
2022-02-28 00:00:00+00:00,Сумська область,1,30.0
2022-02-28 00:00:00+00:00,Тернопільська область,1,59.38333333333333
2022-02-28 00:00:00+00:00,Харківська область,3,90.0
2022-02-28 00:00:00+00:00,Херсонська область,1,30.0
2022-02-28 00:00:00+00:00,Хмельницька область,3,67.98333333333333
2022-02-28 00:00:00+00:00,Черкаська область,5,192.43333333333334
2022-02-28 00:00:00+00:00,Чернівецька область,2,23.85
2022-02-28 00:00:00+00:00,Чернігівська область,5,108.98333333333333
2022-03-01 00:00:00+00:00,Івано-Франківська область,1,15.0
2022-03-01 00:00:00+00:00,Волинська область,4,84.58333333333334
2022-03-01 00:00:00+00:00,Вінницька область,10,318.15
2022-03-01 00:00:00+00:00,Дніпропетровська область,6,170.68333333333334
2022-03-01 00:00:00+00:00,Донецька область,3,68.63333333333333
2022-03-01 00:00:00+00:00,Житомирська область,4,72.4
2022-03-01 00:00:00+00:00,Запорізька область,2,133.98333333333335
2022-03-01 00:00:00+00:00,Київ,9,268.85
2022-03-01 00:00:00+00:00,Київська область,2,939.5333333333333
2022-03-01 00:00:00+00:00,Кіровоградська область,6,223.23333333333332
2022-03-01 00:00:00+00:00,Львівська область,3,108.9
2022-03-01 00:00:00+00:00,Миколаївська область,4,138.78333333333333
2022-03-01 00:00:00+00:00,Одеська область,5,87.25
2022-03-01 00:00:00+00:00,Полтавська область,5,110.85
2022-03-01 00:00:00+00:00,Рівненська область,3,42.93333333333334
2022-03-01 00:00:00+00:00,Сумська область,2,60.0
2022-03-01 00:00:00+00:00,Тернопільська область,2,90.01666666666667
2022-03-01 00:00:00+00:00,Харківська область,3,90.0
2022-03-01 00:00:00+00:00,Херсонська область,1,30.0
2022-03-01 00:00:00+00:00,Хмельницька область,4,84.48333333333333
2022-03-01 00:00:00+00:00,Черкаська область,6,220.95
2022-03-01 00:00:00+00:00,Чернівецька область,1,30.0
2022-03-01 00:00:00+00:00,Чернігівська область,6,152.43333333333334
2022-03-02 00:00:00+00:00,Івано-Франківська область,5,130.5
2022-03-02 00:00:00+00:00,Волинська область,4,73.68333333333334
2022-03-02 00:00:00+00:00,Вінницька область,4,97.65
2022-03-02 00:00:00+00:00,Дніпропетровська область,2,30.6
2022-03-02 00:00:00+00:00,Донецька область,2,60.0
2022-03-02 00:00:00+00:00,Житомирська область,10,444.56666666666666
2022-03-02 00:00:00+00:00,Запорізька область,2,86.3
2022-03-02 00:00:00+00:00,Київ,8,350.9666666666667
2022-03-02 00:00:00+00:00,Київська область,1,50.43333333333333
2022-03-02 00:00:00+00:00,Кіровоградська область,5,171.06666666666666
2022-03-02 00:00:00+00:00,Львівська область,6,113.89999999999999
2022-03-02 00:00:00+00:00,Миколаївська область,3,75.28333333333333
2022-03-02 00:00:00+00:00,Одеська область,2,47.766666666666666
2022-03-02 00:00:00+00:00,Полтавська область,5,161.93333333333334
2022-03-02 00:00:00+00:00,Рівненська область,2,16.416666666666668
2022-03-02 00:00:00+00:00,Сумська область,4,124.21666666666667
2022-03-02 00:00:00+00:00,Тернопільська область,2,108.15
2022-03-02 00:00:00+00:00,Харківська область,3,112.53333333333333
2022-03-02 00:00:00+00:00,Хмельницька область,2,220.06666666666666
2022-03-02 00:00:00+00:00,Черкаська область,6,241.58333333333334
2022-03-02 00:00:00+00:00,Чернівецька область,4,136.61666666666667
2022-03-02 00:00:00+00:00,Чернігівська область,7,184.71666666666667
2022-03-03 00:00:00+00:00,Волинська область,2,32.516666666666666
2022-03-03 00:00:00+00:00,Вінницька область,2,48.95
2022-03-03 00:00:00+00:00,Дніпропетровська область,5,81.21666666666667
2022-03-03 00:00:00+00:00,Житомирська область,3,201.81666666666666
2022-03-03 00:00:00+00:00,Запорізька область,3,269.31666666666666
2022-03-03 00:00:00+00:00,Київ,4,367.6166666666667
2022-03-03 00:00:00+00:00,Київська область,2,49.83333333333333
2022-03-03 00:00:00+00:00,Львівська область,2,52.583333333333336
2022-03-03 00:00:00+00:00,Миколаївська область,5,212.48333333333332
2022-03-03 00:00:00+00:00,Одеська область,1,11.616666666666667
2022-03-03 00:00:00+00:00,Полтавська область,5,94.71666666666667
2022-03-03 00:00:00+00:00,Рівненська область,2,30.85
2022-03-03 00:00:00+00:00,Сумська область,3,207.05
2022-03-03 00:00:00+00:00,Тернопільська область,2,78.95
2022-03-03 00:00:00+00:00,Харківська область,3,74.81666666666666
2022-03-03 00:00:00+00:00,Хмельницька область,2,54.03333333333333
2022-03-03 00:00:00+00:00,Черкаська область,2,267.81666666666666
2022-03-03 00:00:00+00:00,Чернігівська область,10,346.9166666666667
2022-03-04 00:00:00+00:00,Івано-Франківська область,1,17.95
2022-03-04 00:00:00+00:00,Волинська область,3,45.68333333333333
2022-03-04 00:00:00+00:00,Вінницька область,6,124.6
2022-03-04 00:00:00+00:00,Дніпропетровська область,3,64.53333333333333
2022-03-04 00:00:00+00:00,Житомирська область,10,455.01666666666665
2022-03-04 00:00:00+00:00,Запорізька область,1,1440.0
2022-03-04 00:00:00+00:00,Київ,7,314.51666666666665
2022-03-04 00:00:00+00:00,Київська область,2,70.14999999999999
2022-03-04 00:00:00+00:00,Кіровоградська область,2,87.25
2022-03-04 00:00:00+00:00,Львівська область,1,17.116666666666667
2022-03-04 00:00:00+00:00,Миколаївська область,3,220.76666666666665
2022-03-04 00:00:00+00:00,Одеська область,3,113.16666666666666
2022-03-04 00:00:00+00:00,Полтавська область,4,232.13333333333333
2022-03-04 00:00:00+00:00,Рівненська область,2,37.33333333333333
2022-03-04 00:00:00+00:00,Сумська область,1,40.25
2022-03-04 00:00:00+00:00,Тернопільська область,2,54.85
2022-03-04 00:00:00+00:00,Харківська область,2,60.0
2022-03-04 00:00:00+00:00,Хмельницька область,1,17.666666666666668
2022-03-04 00:00:00+00:00,Черкаська область,5,244.9
2022-03-04 00:00:00+00:00,Чернівецька область,1,17.05
2022-03-04 00:00:00+00:00,Чернігівська область,7,232.18333333333334
2022-03-05 00:00:00+00:00,Вінницька область,3,112.66666666666667
2022-03-05 00:00:00+00:00,Дніпропетровська область,5,73.85
2022-03-05 00:00:00+00:00,Житомирська область,5,354.66666666666663
2022-03-05 00:00:00+00:00,Київ,7,511.4
2022-03-05 00:00:00+00:00,Київська область,3,337.5333333333333
2022-03-05 00:00:00+00:00,Кіровоградська область,2,65.16666666666666
2022-03-05 00:00:00+00:00,Львівська область,1,30.0
2022-03-05 00:00:00+00:00,Миколаївська область,4,473.8166666666667
2022-03-05 00:00:00+00:00,Одеська область,1,25.966666666666665
2022-03-05 00:00:00+00:00,Полтавська область,4,111.73333333333333
2022-03-05 00:00:00+00:00,Сумська область,5,304.23333333333335
2022-03-05 00:00:00+00:00,Тернопільська область,1,52.35
2022-03-05 00:00:00+00:00,Харківська область,2,60.0
2022-03-05 00:00:00+00:00,Черкаська область,3,240.78333333333333
2022-03-05 00:00:00+00:00,Чернігівська область,10,348.09999999999997
2022-03-06 00:00:00+00:00,Івано-Франківська область,1,5.533333333333333
2022-03-06 00:00:00+00:00,Волинська область,2,95.33333333333333
2022-03-06 00:00:00+00:00,Вінницька область,5,252.55
2022-03-06 00:00:00+00:00,Дніпропетровська область,7,110.93333333333334
2022-03-06 00:00:00+00:00,Житомирська область,5,735.85
2022-03-06 00:00:00+00:00,Київ,5,387.48333333333335
2022-03-06 00:00:00+00:00,Кіровоградська область,2,120.23333333333333
2022-03-06 00:00:00+00:00,Львівська область,6,165.48333333333332
2022-03-06 00:00:00+00:00,Миколаївська область,2,63.55
2022-03-06 00:00:00+00:00,Одеська область,2,27.8
2022-03-06 00:00:00+00:00,Полтавська область,7,268.8666666666667
2022-03-06 00:00:00+00:00,Рівненська область,2,41.21666666666667
2022-03-06 00:00:00+00:00,Сумська область,1,30.0
2022-03-06 00:00:00+00:00,Харківська область,2,60.0
2022-03-06 00:00:00+00:00,Хмельницька область,4,156.4
2022-03-06 00:00:00+00:00,Черкаська область,4,143.11666666666667
2022-03-06 00:00:00+00:00,Чернігівська область,8,454.5833333333333
2022-03-07 00:00:00+00:00,Івано-Франківська область,1,30.766666666666666
2022-03-07 00:00:00+00:00,Волинська область,2,62.333333333333336
2022-03-07 00:00:00+00:00,Вінницька область,6,380.3666666666667
2022-03-07 00:00:00+00:00,Дніпропетровська область,5,176.76666666666665
2022-03-07 00:00:00+00:00,Житомирська область,5,356.3333333333333
2022-03-07 00:00:00+00:00,Київ,4,384.73333333333335
2022-03-07 00:00:00+00:00,Київська область,2,62.65
2022-03-07 00:00:00+00:00,Кіровоградська область,2,106.85
2022-03-07 00:00:00+00:00,Львівська область,3,142.61666666666667
2022-03-07 00:00:00+00:00,Миколаївська область,3,433.55
2022-03-07 00:00:00+00:00,Одеська область,3,203.89999999999998
2022-03-07 00:00:00+00:00,Полтавська область,6,345.75
2022-03-07 00:00:00+00:00,Рівненська область,1,67.01666666666667
2022-03-07 00:00:00+00:00,Сумська область,4,118.38333333333333
2022-03-07 00:00:00+00:00,Тернопільська область,1,49.78333333333333
2022-03-07 00:00:00+00:00,Харківська область,1,30.0
2022-03-07 00:00:00+00:00,Хмельницька область,3,189.98333333333335
2022-03-07 00:00:00+00:00,Черкаська область,5,247.51666666666665
2022-03-07 00:00:00+00:00,Чернівецька область,1,16.316666666666666
2022-03-07 00:00:00+00:00,Чернігівська область,8,399.03333333333336
2022-03-08 00:00:00+00:00,Волинська область,2,29.3
2022-03-08 00:00:00+00:00,Вінницька область,4,93.36666666666667
2022-03-08 00:00:00+00:00,Дніпропетровська область,3,47.166666666666664
2022-03-08 00:00:00+00:00,Житомирська область,5,180.7
2022-03-08 00:00:00+00:00,Київ,4,140.85
2022-03-08 00:00:00+00:00,Київська область,1,30.0
2022-03-08 00:00:00+00:00,Кіровоградська область,1,45.43333333333333
2022-03-08 00:00:00+00:00,Миколаївська область,1,40.166666666666664
2022-03-08 00:00:00+00:00,Одеська область,1,14.8
2022-03-08 00:00:00+00:00,Полтавська область,1,59.65
2022-03-08 00:00:00+00:00,Рівненська область,1,19.6
